fold,model,scope,MAE,RMSE,MAPE,MedAPE
2025-06,baseline_rpm,clean,151.48743489164013,199.1947348269814,6.313360038835179,5.969307247181525
2025-06,baseline_rpm,raw,213.18275680932928,734.5032454148131,8.191626450318815,6.056538059743006
2025-06,ridge,clean,152.07287470885603,195.02433051532083,6.062410655136892,6.019601744508998
2025-06,ridge,raw,213.66115555053148,733.8626112774627,7.92595318324566,6.093097220574182
2025-06,lgb_no_market,clean,151.9838174277335,191.81527012293515,6.030313220958986,5.919506443766655
2025-06,lgb_no_market,raw,213.48922297015665,732.0537897668444,7.888280583858319,5.9535086923763885
2025-06,lgb_full,clean,71.6243285832292,106.18258141720797,2.8425439196325692,2.538865422681563
2025-06,lgb_full,raw,133.8135345897759,706.887721700694,4.799185560836512,2.5820215855299407
2025-07,baseline_rpm,clean,93.55090662515224,128.12620745317255,4.174720790200877,3.6089202507344096
2025-07,baseline_rpm,raw,147.28348488242415,642.5888347597097,6.242582744588657,3.6706768130325957
2025-07,ridge,clean,79.70702628771983,108.29926260699608,3.393034255923941,3.0504477435867097
2025-07,ridge,raw,133.45968024711905,637.1614509983492,5.470038490005394,3.0873002516637458
2025-07,lgb_no_market,clean,66.04744471790633,91.80551738727448,2.7035633450114984,2.469936629263582
2025-07,lgb_no_market,raw,119.8182472382289,632.5451196992099,4.780636648926719,2.4938498716553
2025-07,lgb_full,clean,41.89791479954629,59.261522609312266,1.8378957445699455,1.5121830471539925
2025-07,lgb_full,raw,96.04091551540016,627.8492605612028,3.9384536282686233,1.5275129678544601
2025-08,baseline_rpm,clean,84.1169222665903,117.25971249200586,3.8705487332328703,3.268040589289928
2025-08,baseline_rpm,raw,133.36143917144437,619.7431056578864,6.284762738177325,3.3489657789487213
2025-08,ridge,clean,58.45668715598225,81.0779130645669,2.7556225091649353,2.3255047491981897
2025-08,ridge,raw,108.26779176252435,616.0752138290773,5.185360581414077,2.3638742029308775
2025-08,lgb_no_market,clean,40.269089186971826,58.2886167300269,1.7608256317806037,1.4688161869029108
2025-08,lgb_no_market,raw,90.34715446631843,613.4006950607389,4.217288059723407,1.4893466285785073
2025-08,lgb_full,clean,60.157799629551505,81.69449796044985,2.8525691976468095,2.498614334663905
2025-08,lgb_full,raw,109.93078213531902,619.7749106725759,5.199821104175835,2.538676851014991
2025-09,baseline_rpm,clean,86.25005816474145,116.70634177563973,3.9484532727224892,3.3446902159330425
2025-09,baseline_rpm,raw,137.1674593590893,622.860513199584,5.986211859514516,3.3948515139636806
2025-09,ridge,clean,62.78735051482603,87.39472840576686,2.8579868942486972,2.401410097561682
2025-09,ridge,raw,113.96130135083025,618.5493165974544,4.895888551011004,2.4509666990909325
2025-09,lgb_no_market,clean,44.48683847452582,66.58977638417903,1.9103356628379988,1.523569080801237
2025-09,lgb_no_market,raw,95.75542114001348,613.0864940257441,3.960659218623156,1.5488988047014083
2025-09,lgb_full,clean,112.26132517603725,145.82605864172174,4.632880342320749,4.4853289386157424
2025-09,lgb_full,raw,162.71918255305732,632.8163364775365,6.5637657237603495,4.525612278599843
2025-10,baseline_rpm,clean,83.02974789569858,111.44727987516187,3.8854047339970545,3.303289987891664
2025-10,baseline_rpm,raw,143.21241043415037,654.7553631280784,6.849807070576465,3.365425756300099
2025-10,ridge,clean,59.3076335141376,79.92267454841723,2.769350506868775,2.3186124579208838
2025-10,ridge,raw,119.71377304521543,650.3886493090323,5.7384729091029225,2.376653873665643
2025-10,lgb_no_market,clean,39.6632976765774,56.73055427099068,1.7502932539723008,1.4978493648616917
2025-10,lgb_no_market,raw,100.26832489042398,647.1593027580344,4.716100273924174,1.5199270072602005
2025-10,lgb_full,clean,70.87433726556048,91.9637089738794,3.1939678199522503,3.110509314495871
2025-10,lgb_full,raw,131.01290742457127,654.8165324486941,6.0696311046796225,3.1564458728176183
